"71V","Aberdeen University Research Archive","Aberdeen University","0","Results - No Matches","0"
"AGRMC","Academic Video Online: Premium - United States","Alexander Street Press","2166726","Academic Video Online: Premium - Canada","85"
"AGRMC","Academic Video Online: Premium - United States","Alexander Street Press","2178279","Academic Video Online: Premium - Japan","81"
"AGRMC","Academic Video Online: Premium - United States","Alexander Street Press","2480369","Academic Video Online: Premium - Korea","83"
"AGRMC","Academic Video Online: Premium - United States","Alexander Street Press","2359258","Academic Video Online: Premium - United States","100"
"BKI","Accounting Research Manager","Wolters Kluwer CCH Australia","6904","Accounting Research Manager","100"
"6GE","ACP Smart Medicine & AHFS DI Essentials","Teton Data Systems","0","Results - No Matches","0"
"LKT","AERADE","Cranfield University","0","Results - No Matches","0"
"ADS","African-American Biographical Database","Chadwyck-Healey","0","Results - No Matches","0"
"7S9","AGRICOLA","ProQuest","0","Results - No Matches","0"
"AEF","AGRICOLA: Online Public Access Catalog","National Agricultural Library","0","Results - No Matches","0"
"M7N","Algology Mycology and Protozoology Abstracts (Microbiology C)","ProQuest","2721","Algology, Mycology and Protozoology Abstracts (Microbiology C)","99"
"BTB","Almanac of American Politics","National Journal Group","0","Results - No Matches","0"
"7QF","Aluminium Industry Abstracts","ProQuest","2784","Aluminium Industry Abstracts","100"
"FTF","America: History & Life (EBSCO)","EBSCOhost","2532","America: History & Life (EBSCO)","100"
"AMIRZ","American Civil War Collection, 1860-1922: From the American Antiquarian Society","Readex","0","Results - No Matches","0"
"WCW","American Civil War Research Database","Alexander Street Press","3276","The American Civil War Research Database","95"
"WZS","American Civil War: Photographs, Posters, and Ephemera","Alexander Street Press","0","Results - No Matches","0"
"ACMVJ","American History In Video (United States)","Alexander Street Press","3761","American History in Video United States","95"
"ACMVJ","American History In Video (United States)","Alexander Street Press","5404","World History in Video United States","81"
"AGZ","American Memory","Library of Congress","0","Results - No Matches","0"
"AHA","American Memory Images","Library of Congress","0","Results - No Matches","0"
"BFOPF","American Slavery Collection, 1820-1922: From the American Antiquarian Society","Readex","0","Results - No Matches","0"
"#NAME?","Anatomy & Physiology Online","Primal Pictures","0","Results - No Matches","0"
"7QG","Animal Behavior Abstracts","ProQuest","2722","Animal Behavior Abstracts","100"
"F28","ANTE: Abstracts in New Technology & Engineering","ProQuest","2689","ANTE: Abstracts in New Technologies and Engineering","92"
"UW3","Anthropology Plus","EBSCOhost","6105","Anthropology Plus","100"
"ZPG","APA PsycINFO","American Psychological Association","0","Results - No Matches","0"
"QY2","Applied Science & Business Periodicals Retrospective: 1913-1983 (H.W. Wilson)","EBSCOhost","5482","Applied Science & Business Periodicals Retrospective: 1913-1983 (H.W. Wilson)","100"
"QY2","Applied Science & Business Periodicals Retrospective: 1913-1983 (H.W. Wilson)","EBSCOhost","5481","Business Periodicals Index Retrospective: 1913-1982 (H.W. Wilson)","82"
"7QJ","Applied Social Sciences Index & Abstracts (ASSIA)","ProQuest","5813","ASSIA: Applied Social Sciences Index and Abstracts (CSA)","86"
"H95","Aquatic Science & Fisheries Abstracts (ASFA) 1: Biological Sciences & Living Resources","ProQuest","2710","Aquatic Science & Fisheries Abstracts (ASFA) 1: Biological Sciences & Living Resources","100"
"H95","Aquatic Science & Fisheries Abstracts (ASFA) 1: Biological Sciences & Living Resources","ProQuest","2711","Aquatic Science & Fisheries Abstracts (ASFA) 2: Ocean Technology, Policy & Non-Living Resources","81"
"H96","Aquatic Science & Fisheries Abstracts (ASFA) 2: Ocean Technology, Policy & Non-Living Resources","ProQuest","2710","Aquatic Science & Fisheries Abstracts (ASFA) 1: Biological Sciences & Living Resources","81"
"H96","Aquatic Science & Fisheries Abstracts (ASFA) 2: Ocean Technology, Policy & Non-Living Resources","ProQuest","2711","Aquatic Science & Fisheries Abstracts (ASFA) 2: Ocean Technology, Policy & Non-Living Resources","100"
"H97","Aquatic Science & Fisheries Abstracts (ASFA) 3: Aquatic Pollution & Environmental Quality","ProQuest","2712","Aquatic Science & Fisheries Abstracts (ASFA) 3: Aquatic Pollution & Environmental Quality","100"
"H98","Aquatic Science & Fisheries Abstracts (ASFA) Aquaculture Abstracts","ProQuest","2713","Aquatic Science & Fisheries Abstracts (ASFA) Aquaculture Abstracts","100"
"H98","Aquatic Science & Fisheries Abstracts (ASFA) Aquaculture Abstracts","ProQuest","2714","Aquatic Science & Fisheries Abstracts (ASFA) Marine Biotechnology Abstracts","82"
"JQN","Arab-Israeli Relations, 1917-1970: The Middle East Online Series 1","Gale","6607","Arab-Israeli Relations, 1917-1970: The Middle East Online, Series 1","99"
"4FH","Archive of European Integration (AEI)","University of Pittsburgh","6096","Archive of European Integration","91"
"1X5","Archive of Popular American Music","University of California, Los Angeles (UCLA)","0","Results - No Matches","0"
"BOQ","ArchiveGrid","OCLC","7845","OCLC ArchiveGrid","81"
"AG6","Archivision Library - Addition Module One","Archivision","0","Results - No Matches","0"
".T7","Archivision Library - Addition Module Three","Archivision","0","Results - No Matches","0"
"AG7","Archivision Library - Addition Module Two","Archivision","0","Results - No Matches","0"
"AG5","Archivision Library - Base Collection","Archivision","0","Results - No Matches","0"
"21U","ARROW","University of South Australia","0","Results - No Matches","0"
"AKF","Art Index Retrospective: 1929-1984","EBSCOhost","3126","Art Index Retrospective: 1929-1984 (Ovid)","91"
"AKO","ARTFL (American and French Research on the Treasury of the French Language)","University of Chicago Press","0","Results - No Matches","0"
"AKQ","ArticleFirst","OCLC","0","Results - No Matches","0"
"AKT","Arts & Humanities Citation Index","Thomson Reuters (Scientific)","2872","Arts & Humanities Citation Index (ISI)","91"
"AKX","ARTstor","ARTstor","4374","ARTstor","100"
"GOX","arXiv.org","Cornell University","0","Results - No Matches","0"
"F1W","ASFA: Aquatic Sciences and Fisheries Abstracts","ProQuest","0","Results - No Matches","0"
"H99","ASFA: Marine Biotechnology Abstracts","ProQuest","10395","Marine Technology Abstracts","83"
"BWX","ASTM Standards","Techstreet","0","Results - No Matches","0"
"AMF","ATLA Religion","EBSCOhost","0","Results - No Matches","0"
"94D","AtoM @ RRU","Royal Roads University","0","Results - No Matches","0"
"7JL","AUC DAR Repository (Digital Archive and Research Repository)","American University of Cairo","0","Results - No Matches","0"
"1X6","Australian Research Online","Australian Government","0","Results - No Matches","0"
"7QK","Avery Index to Architectural Periodicals","ProQuest","5190","Avery Index to Architectural Periodicals (CSA)","93"
"7QK","Avery Index to Architectural Periodicals","ProQuest","2637","Avery Index to Architectural Periodicals (EBSCO)","91"
"7QL","Bacteriology Abstracts (Microbiology B)","ProQuest","2723","Bacteriology Abstracts (Microbiology B)","100"
"HE5","BBC Shakespeare Plays","Ambrose Video Publishing, Inc.","6646","BBC Shakespeare Plays","100"
"H6B","BGSU Digital Resource Commons","Bowling Green University","0","Results - No Matches","0"
"AOZ","Biography and Genealogy Master Index","Gale","3287","Biography and Genealogy Master Index (Ancestry.com)","83"
"AOZ","Biography and Genealogy Master Index","Gale","3288","Biography and Genealogy Master Index (Gale)","91"
"QZ9","Biography Reference Bank (H.W. Wilson)","EBSCOhost","5488","Biography Reference Bank (H.W. Wilson)","100"
"7QN","BioOne Abstracts & Indexes","ProQuest","950","BioOne Abstracts & Indexes","100"
"M7T","Biotechnology and BioEngineering Abstracts","ProQuest","2751","Biotechnology and Bioengineering Abstracts","98"
"BOB","Birds of North America Online","Cornell Lab of Ornithology","0","Results - No Matches","0"
"1JX","BNA Tax Portfolios","Bloomberg BNA","0","Results - No Matches","0"
"BKT","Britannica Online Academic Edition","Encyclopaedia Britannica Inc","6201","Britannica Online Academic Edition","100"
"BKT","Britannica Online Academic Edition","Encyclopaedia Britannica Inc","6741","Britannica Online School Edition","82"
"BIW","British and Irish Women's Letters and Diaries","Alexander Street Press","0","Results - No Matches","0"
"DNY","Broward Community College Library Catalog","LINCCWebb","0","Results - No Matches","0"
"FZ~","BrowZine","Third Iron LLC","1223156","Browzine","88"
"D6B","BURA DSpace","Brunel University","0","Results - No Matches","0"
"IBD","Business & Industry","Gale","0","Results - No Matches","0"
"IBS","Business Reference Suite","Gale","0","Results - No Matches","0"
"CEF","Cabell's Directory - Educational Set","Cabell's Publishing, Inc","0","Results - No Matches","0"
"7QP","Calcium & Calcified Tissue Abstracts","ProQuest","2724","Calcium and Calcified Tissue Abstracts","95"
"DME","CAMIO: Catalog for Art Images Online","OCLC","0","Results - No Matches","0"
"JRN","CAUSEweb.org","National Science Foundation","0","Results - No Matches","0"
"4M9","Central University Libraries (CUL) Digital Collections","Southern Methodist University","0","Results - No Matches","0"
"7QQ","Ceramic Abstracts","ProQuest","2785","Ceramic Abstracts","100"
"7QQ","Ceramic Abstracts","ProQuest","5732","Chemical Abstracts","86"
"9CY","Chalmers Publication Library (CPL)","Chalmers University of Technology","0","Results - No Matches","0"
"7QR","Chemoreception Abstracts","ProQuest","2725","Chemoreception Abstracts","100"
"PCC","Chicago Defender (1909-1975) (Legacy Platform)","ProQuest","0","Results - No Matches","0"
"UW4","Chicano Database","EBSCOhost","6653","Chicano Database","100"
"CSJ","Child Care & Early Education Research Connections","Child Care & Early Education Research Connections","0","Results - No Matches","0"
"QY6","Children's Core Collection (H.W. Wilson)","EBSCOhost","5516","Children's Core Collection (H.W. Wilson)","100"
"QY6","Children's Core Collection (H.W. Wilson)","EBSCOhost","5517","Fiction Core Collection (H.W. Wilson)","83"
"QY6","Children's Core Collection (H.W. Wilson)","EBSCOhost","5518","Graphic Novels Core Collection (H.W. Wilson)","81"
"CJ9","cIRcle: UBC's dSpace IR","University of British Columbia","0","Results - No Matches","0"
"BOA","CIS Serials","Center for Research Libraries","0","Results - No Matches","0"
"AXX","CiteSeer.IST","National Science Foundation","0","Results - No Matches","0"
"KR7","Civil Engineering Abstracts","ProQuest","2774","Civil Engineering Abstracts","100"
"KR7","Civil Engineering Abstracts","ProQuest","6751","CSA / ASCE Civil Engineering Abstracts","83"
"KR7","Civil Engineering Abstracts","ProQuest","2778","Environmental Engineering Abstracts","81"
"KR7","Civil Engineering Abstracts","ProQuest","10263","Mechanical Engineering Abstracts","81"
"BNQ","Civilian Conservation Corps Camp Papers","Center for Research Libraries","0","Results - No Matches","0"
"DJ8","Claremont College Digital Commons","Claremont Colleges","0","Results - No Matches","0"
"AYB","Clase and PeriÃ³dica","OCLC","0","Results - No Matches","0"
"47","ClinicalKey First Consult","Elsevier","0","Results - No Matches","0"
"460","ClinicalKey Procedures Consult","Elsevier","0","Results - No Matches","0"
"AYV","CollegeSource Online Web site","Career Guidance Foundation","0","Results - No Matches","0"
"8BM","ComDisDome","ProQuest","2761","ComDisDome","100"
"7FK","Communication Abstracts","EBSCOhost","2757","Communication Abstracts","100"
"7FK","Communication Abstracts","EBSCOhost","4240","Communication Abstracts (EBSCO)","85"
"BJJ","Compendex","Engineering Village","5273","Compendex","100"
"BJJ","Compendex","Engineering Village","3079","Ei Compendex®","82"
"BPH","Compendex (Engineering Index) 1970-1999","Florida Center for Library Automation (FCLA)","0","Results - No Matches","0"
"BPJ","Compendex (Engineering Index) 2000 to date","Florida Center for Library Automation (FCLA)","0","Results - No Matches","0"
"7SC","Computer and Information Systems Abstracts","ProQuest","2780","Computer and Information Systems Abstracts","100"
"H8F","Conference Papers Index","ProQuest","2770","Conference Papers Index","100"
"H8G","Copper Technical Reference Library","ProQuest","2787","Copper Technical Reference Library","100"
"7SE","Corrosion Abstracts","ProQuest","2789","Corrosion Abstracts","100"
"NKQ","Counseling and Therapy in Video: Volume 1","Alexander Street Press","3771","Counseling and Therapy in Video: Volume I","98"
"NKQ","Counseling and Therapy in Video: Volume 1","Alexander Street Press","5258","Counseling and Therapy in Video: Volume II","96"
"NKQ","Counseling and Therapy in Video: Volume 1","Alexander Street Press","7158","Counseling and Therapy in Video: Volume III","95"
"NKQ","Counseling and Therapy in Video: Volume 1","Alexander Street Press","2507068","Counseling and Therapy in Video: Volume IV","96"
"NKQ","Counseling and Therapy in Video: Volume 1","Alexander Street Press","2602506","Counseling and Therapy in Video: Volume IV - Australia","84"
"NKQ","Counseling and Therapy in Video: Volume 1","Alexander Street Press","2602511","Counseling and Therapy in Video: Volume IV - Canada","87"
"NKQ","Counseling and Therapy in Video: Volume 1","Alexander Street Press","2602513","Counseling and Therapy in Video: Volume IV - United States","81"
"IS7","Counseling and Therapy in Video: Volume 2","Alexander Street Press","3771","Counseling and Therapy in Video: Volume I","98"
"IS7","Counseling and Therapy in Video: Volume 2","Alexander Street Press","5258","Counseling and Therapy in Video: Volume II","96"
"IS7","Counseling and Therapy in Video: Volume 2","Alexander Street Press","7158","Counseling and Therapy in Video: Volume III","95"
"IS7","Counseling and Therapy in Video: Volume 2","Alexander Street Press","2507068","Counseling and Therapy in Video: Volume IV","96"
